ID,Crop_Type,Growth_Stage,Soil_Moisture_pct,Temperature_C,Humidity_pct,Rainfall_7day_mm,Soil_pH,Solar_Radiation_MJm2,Water_Requirement_mm,Irrigate
641,Potato,Seedling,68.59,27.52,39.01,56.25,6.05,27.43,0,No
642,Wheat,Seedling,33.09,33.65,64.51,23.73,7.76,23.96,16.8,No
643,Cotton,Seedling,47.23,24.06,90.6,41.18,8.23,17.28,8.97,No
644,Potato,Seedling,31.93,19.73,66.32,5.36,7.63,14.09,25.32,Yes
645,Soybean,Vegetative,42.38,32.52,77.93,60.18,8.11,24.06,18.39,No
646,Soybean,Flowering,63.88,28.6,57.49,4.36,6.62,19.05,47.45,Yes
647,Rice,Maturation,52.59,33.31,64.64,23.38,7.36,26.0,62.36,Yes
648,Rice,Vegetative,63.51,27.36,35.21,71.84,6.37,29.13,44.45,Yes
649,Rice,Vegetative,26.56,33.82,62.26,70.0,7.06,22.55,60.97,Yes
650,Maize,Maturation,30.8,26.98,71.9,23.32,5.69,27.44,39.46,Yes
651,Cotton,Flowering,34.7,24.26,71.99,26.1,7.28,23.94,68.96,Yes
652,Sugarcane,Vegetative,63.9,23.28,81.3,18.14,6.62,15.76,55.07,Yes
653,Wheat,Vegetative,31.19,27.31,40.81,73.93,7.64,15.7,17.94,No
654,Maize,Vegetative,24.27,16.11,50.58,10.12,6.28,13.69,45.57,Yes
655,Wheat,Flowering,68.68,18.99,59.15,78.04,7.1,12.43,6.18,No
656,Maize,Maturation,65.67,19.21,93.06,43.69,7.02,22.94,0,No
657,Sugarcane,Maturation,63.76,41.18,79.02,79.53,7.5,25.99,23.91,No
658,Soybean,Seedling,53.9,39.3,39.06,44.08,6.42,18.03,6.26,No
659,Cotton,Maturation,31.44,23.81,69.53,15.61,7.08,25.63,41.45,Yes
660,Rice,Maturation,50.62,40.86,93.43,31.55,6.97,22.06,53.68,Yes
661,Wheat,Flowering,33.85,34.33,57.8,30.89,5.54,16.9,48.15,Yes
662,Rice,Vegetative,53.67,26.99,94.52,64.29,6.37,26.11,47.84,Yes
663,Tomato,Maturation,18.37,30.85,35.6,16.62,6.92,27.35,53.79,Yes
664,Tomato,Seedling,10.4,32.25,47.77,13.99,6.89,21.36,44.39,Yes
665,Maize,Vegetative,21.16,25.31,66.0,3.38,7.98,26.69,54.92,Yes
666,Potato,Vegetative,11.61,15.07,47.07,76.48,8.0,19.45,21.73,No
667,Sugarcane,Maturation,20.76,39.48,71.91,2.28,7.79,19.86,84.34,Yes
668,Soybean,Maturation,43.93,38.45,70.82,38.08,7.58,12.39,23.78,No
669,Wheat,Flowering,19.77,16.58,50.78,70.27,5.91,13.27,21.66,No
670,Soybean,Seedling,27.39,29.3,90.86,41.11,7.8,13.66,12.4,No
671,Rice,Vegetative,42.62,38.56,83.74,54.8,6.4,23.71,64.33,Yes
672,Soybean,Vegetative,10.77,28.99,54.25,38.79,6.52,28.22,41.1,Yes
673,Rice,Vegetative,19.27,20.97,42.25,71.76,7.34,26.63,54.2,Yes
674,Rice,Maturation,37.63,17.06,83.22,73.87,6.94,16.23,21.58,No
675,Soybean,Vegetative,59.02,39.02,68.85,61.09,6.53,24.2,23.15,No
676,Cotton,Vegetative,61.41,18.84,44.73,10.03,5.89,11.57,45.77,Yes
677,Rice,Seedling,11.13,28.07,58.03,15.71,5.6,23.2,53.63,Yes
678,Sugarcane,Seedling,13.97,33.02,79.05,62.59,8.26,14.11,27.81,Yes
679,Cotton,Vegetative,50.24,15.79,39.46,59.7,6.33,21.6,19.24,No
680,Cotton,Seedling,15.95,30.61,30.91,17.36,6.07,15.64,49.51,Yes
681,Wheat,Seedling,65.45,39.85,85.33,37.98,7.59,13.7,1.25,No
682,Soybean,Maturation,35.45,28.88,56.49,60.91,6.44,19.32,9.73,No
683,Maize,Maturation,55.74,34.03,66.21,3.25,6.48,12.31,37.52,Yes
684,Sugarcane,Maturation,23.55,26.0,94.02,34.24,8.07,27.9,53.13,Yes
685,Potato,Flowering,20.76,41.97,61.96,8.41,6.81,23.17,85.71,Yes
686,Tomato,Seedling,54.49,39.1,40.97,29.1,6.1,14.01,26.64,Yes
687,Tomato,Seedling,23.97,26.47,62.44,61.19,7.8,21.87,8.84,No
688,Tomato,Flowering,38.55,31.29,56.29,38.76,6.34,25.36,55.4,Yes
689,Rice,Seedling,25.04,28.43,70.84,10.77,5.8,11.06,55.83,Yes
690,Maize,Maturation,46.28,23.83,49.68,49.86,7.78,23.22,15.05,No
691,Potato,Maturation,22.12,32.88,61.87,20.93,6.53,27.19,35.62,Yes
692,Wheat,Maturation,62.81,18.22,59.26,68.23,6.83,10.72,0,No
693,Maize,Flowering,63.08,19.43,57.99,25.0,6.67,25.28,38.45,Yes
694,Potato,Maturation,43.74,19.22,33.62,21.07,7.27,17.56,25.84,Yes
695,Soybean,Flowering,29.23,15.76,32.93,66.95,6.55,24.84,34.73,Yes
696,Soybean,Maturation,15.84,24.32,53.23,28.1,7.48,14.95,33.15,Yes
697,Sugarcane,Seedling,64.62,16.77,49.82,27.01,5.56,16.52,12.78,No
698,Tomato,Flowering,11.22,27.68,31.45,25.32,7.21,16.45,80.73,Yes
699,Rice,Maturation,16.0,33.23,51.84,40.22,7.79,16.79,63.16,Yes
700,Tomato,Vegetative,39.82,37.88,81.16,67.23,7.11,15.75,27.7,Yes
701,Wheat,Flowering,69.77,25.85,44.68,59.43,5.78,26.88,18.11,No
702,Rice,Maturation,35.63,24.38,34.98,65.9,7.01,16.0,41.58,Yes
703,Soybean,Vegetative,34.86,21.78,63.5,53.72,7.14,27.62,15.58,No
704,Maize,Maturation,22.78,40.98,78.24,37.38,8.31,20.65,35.64,Yes
705,Tomato,Seedling,41.34,24.84,39.6,12.04,7.56,16.01,25.96,Yes
706,Rice,Vegetative,60.76,22.21,48.66,12.85,7.56,14.72,71.78,Yes
707,Cotton,Seedling,19.0,15.75,81.81,24.84,6.96,29.83,14.56,No
708,Cotton,Vegetative,26.36,15.79,81.33,22.22,7.15,22.89,47.85,Yes
709,Wheat,Maturation,56.93,16.49,88.27,25.11,6.39,11.27,7.76,No
710,Rice,Maturation,66.59,34.55,39.14,8.95,7.7,28.66,61.88,Yes
711,Sugarcane,Maturation,63.07,21.43,37.95,64.53,6.49,21.69,19.12,No
712,Cotton,Maturation,23.08,17.88,43.92,21.96,6.73,27.26,43.68,Yes
713,Wheat,Maturation,42.01,33.89,37.34,43.66,6.92,14.93,18.97,No
714,Maize,Flowering,38.51,24.93,50.03,51.63,8.22,10.7,48.9,Yes
715,Wheat,Vegetative,25.18,25.39,71.53,56.05,8.21,23.7,15.34,No
716,Potato,Maturation,10.47,40.94,90.29,73.43,6.4,28.73,22.83,No
717,Cotton,Flowering,22.62,39.04,89.53,50.51,8.14,25.33,68.34,Yes
718,Rice,Maturation,38.27,26.15,84.68,57.39,8.13,26.4,37.65,Yes
719,Maize,Flowering,40.38,24.5,69.14,65.07,7.71,19.07,34.01,Yes
720,Maize,Maturation,57.46,18.67,56.04,50.26,6.44,11.64,3.58,No
721,Maize,Vegetative,40.98,41.18,83.99,61.05,8.04,23.72,30.13,Yes
722,Potato,Vegetative,25.64,33.56,83.74,63.96,6.1,18.29,25.51,Yes
723,Maize,Maturation,62.58,40.51,87.48,17.96,8.34,28.46,27.74,Yes
724,Rice,Maturation,21.9,33.93,40.97,32.08,6.79,15.2,65.84,Yes
725,Rice,Flowering,20.21,30.32,30.92,42.07,7.82,28.57,110.13,Yes
726,Cotton,Vegetative,21.43,38.27,80.84,23.04,6.98,12.6,61.3,Yes
727,Cotton,Vegetative,69.71,22.64,74.02,33.47,6.73,12.92,27.81,Yes
728,Potato,Vegetative,32.18,33.48,59.78,0.83,5.9,16.46,62.79,Yes
729,Tomato,Vegetative,52.8,34.13,77.85,20.5,5.79,11.18,44.16,Yes
730,Soybean,Seedling,10.32,28.62,54.76,78.2,7.51,12.64,4.36,No
731,Wheat,Vegetative,25.62,28.6,90.47,70.23,5.9,16.35,8.32,No
732,Rice,Flowering,12.65,18.45,86.66,66.78,7.74,28.52,81.0,Yes
733,Sugarcane,Flowering,46.78,35.56,47.14,25.04,8.18,16.31,106.74,Yes
734,Maize,Maturation,13.19,19.01,44.94,2.87,6.28,24.12,46.58,Yes
735,Tomato,Seedling,69.71,40.03,32.65,28.52,7.63,19.7,16.19,No
736,Maize,Seedling,30.98,20.5,48.47,66.8,7.75,26.45,0,No
737,Cotton,Seedling,41.56,30.41,57.07,6.15,7.8,23.54,36.59,Yes
738,Rice,Maturation,32.41,40.09,36.89,25.88,5.59,19.2,73.19,Yes
739,Potato,Maturation,47.7,22.27,72.77,26.35,5.63,22.45,12.68,No
740,Maize,Vegetative,61.8,36.64,48.39,63.85,7.73,20.94,23.52,No
741,Tomato,Seedling,33.93,19.81,92.73,69.24,5.77,27.05,0,No
742,Sugarcane,Vegetative,17.24,28.25,58.1,64.51,6.43,23.7,65.19,Yes
743,Maize,Flowering,49.93,37.47,63.32,39.17,8.16,19.53,50.52,Yes
744,Tomato,Flowering,46.83,26.72,57.69,3.24,6.53,19.27,70.16,Yes
745,Cotton,Vegetative,65.84,29.24,72.07,6.72,6.9,11.58,49.69,Yes
746,Maize,Flowering,60.49,29.12,49.21,3.82,5.73,10.9,59.9,Yes
747,Rice,Maturation,34.78,27.55,76.82,65.03,6.57,21.71,37.15,Yes
748,Potato,Vegetative,57.17,37.76,32.94,33.3,7.61,16.28,41.21,Yes
749,Potato,Maturation,47.43,22.16,92.84,69.71,6.06,13.7,0,No
750,Rice,Maturation,42.06,15.16,37.58,13.74,6.93,23.84,51.71,Yes
751,Potato,Flowering,47.11,41.3,53.45,53.9,7.57,17.9,51.22,Yes
752,Wheat,Vegetative,16.71,15.43,93.08,68.72,6.13,22.97,4.8,No
753,Cotton,Maturation,60.53,38.17,65.01,6.89,7.81,12.96,44.81,Yes
754,Maize,Maturation,67.83,27.73,85.89,46.82,6.1,21.39,4.46,No
755,Tomato,Seedling,30.03,17.77,85.1,34.54,6.75,19.91,4.89,No
756,Sugarcane,Seedling,39.25,28.12,68.42,48.92,7.54,26.33,21.77,No
757,Potato,Vegetative,52.86,29.26,57.43,25.27,5.69,27.86,34.07,Yes
758,Potato,Flowering,36.9,26.78,40.49,58.1,6.91,18.76,45.73,Yes
759,Cotton,Flowering,65.3,38.04,76.49,37.48,8.15,24.46,57.19,Yes
760,Soybean,Maturation,57.99,37.8,70.42,22.6,7.75,23.34,28.16,Yes
761,Maize,Vegetative,21.97,31.36,36.56,33.28,8.48,16.07,50.41,Yes
762,Wheat,Flowering,62.85,24.64,40.31,66.24,8.18,10.64,15.81,No
763,Rice,Flowering,35.84,31.67,37.84,17.93,6.27,16.81,113.79,Yes
764,Sugarcane,Vegetative,61.2,38.59,69.28,8.33,5.65,28.93,78.57,Yes
765,Potato,Seedling,68.48,36.1,69.63,68.67,5.81,21.25,0,No
766,Rice,Vegetative,64.66,19.24,48.99,35.32,7.02,24.65,55.44,Yes
767,Rice,Vegetative,48.83,24.03,38.96,67.89,6.82,18.31,51.17,Yes
768,Potato,Flowering,27.21,19.62,47.29,57.22,6.75,22.59,39.37,Yes
769,Cotton,Vegetative,55.19,29.3,81.17,11.04,6.79,28.36,55.59,Yes
770,Soybean,Seedling,36.55,35.79,76.65,41.39,5.71,16.77,8.4,No
771,Tomato,Vegetative,36.04,25.62,32.41,73.8,5.95,21.49,33.63,Yes
772,Sugarcane,Maturation,34.12,33.38,65.98,24.35,7.73,28.18,58.81,Yes
773,Wheat,Flowering,64.01,31.48,39.55,32.32,7.43,27.75,34.03,Yes
774,Potato,Flowering,63.26,36.1,56.29,15.78,6.4,10.74,56.81,Yes
775,Soybean,Maturation,53.51,34.98,38.19,79.35,6.35,11.86,0,No
776,Maize,Seedling,11.67,36.51,68.51,19.31,7.82,24.53,37.44,Yes
777,Rice,Seedling,60.5,22.01,62.99,9.91,7.77,28.83,30.29,Yes
778,Wheat,Maturation,30.34,21.37,78.47,46.53,7.64,28.75,8.16,No
779,Cotton,Flowering,27.95,33.01,82.98,45.82,5.92,17.55,65.26,Yes
780,Cotton,Flowering,37.26,18.96,57.67,32.96,5.78,18.5,59.22,Yes
781,Maize,Maturation,22.89,17.11,73.99,32.22,7.18,25.58,25.08,Yes
782,Tomato,Maturation,51.34,40.59,77.56,33.35,5.99,20.12,29.76,Yes
783,Potato,Maturation,17.76,34.02,86.11,9.44,6.14,19.47,47.32,Yes
784,Soybean,Seedling,46.1,26.03,37.86,45.74,5.62,13.07,0,No
785,Soybean,Flowering,69.46,23.19,61.59,63.3,5.93,21.79,21.94,No
786,Sugarcane,Vegetative,20.98,34.97,30.14,43.8,5.7,10.89,81.08,Yes
787,Potato,Flowering,43.95,39.31,80.79,38.02,7.66,22.11,55.51,Yes
788,Potato,Maturation,50.03,19.02,77.31,7.15,7.37,22.47,21.49,No
789,Tomato,Vegetative,64.01,24.15,32.98,53.64,6.83,15.55,24.48,No
790,Wheat,Flowering,43.66,18.34,66.36,15.39,7.36,21.54,40.01,Yes
791,Wheat,Vegetative,55.03,28.57,31.21,52.66,7.1,29.25,15.51,No
792,Potato,Seedling,58.42,31.39,56.12,3.6,8.09,10.47,27.54,Yes
793,Tomato,Vegetative,34.9,38.21,50.63,20.57,5.84,11.99,60.55,Yes
794,Sugarcane,Seedling,19.25,40.71,74.11,4.71,8.38,13.63,64.85,Yes
795,Wheat,Flowering,33.4,23.64,56.83,25.94,6.63,26.55,45.02,Yes
796,Cotton,Maturation,40.52,28.62,91.71,21.54,6.46,21.06,36.55,Yes
797,Rice,Maturation,11.73,32.11,89.39,1.49,7.16,21.72,83.93,Yes
798,Maize,Flowering,44.09,27.04,85.01,40.03,7.85,12.85,46.76,Yes
799,Maize,Vegetative,42.25,26.44,89.25,36.14,5.5,19.29,29.98,Yes
800,Maize,Seedling,13.61,39.89,47.76,20.07,7.54,29.98,41.09,Yes
801,Cotton,Flowering,12.73,34.96,66.6,24.05,6.69,12.46,88.81,Yes
802,Sugarcane,Maturation,22.65,28.63,82.13,70.71,8.34,22.7,38.11,Yes
803,Potato,Flowering,24.76,41.54,52.21,36.78,7.3,10.32,68.06,Yes
804,Wheat,Maturation,10.26,15.26,41.28,44.46,7.59,19.78,12.64,No
805,Tomato,Seedling,57.24,32.53,35.04,2.48,8.0,23.43,32.32,Yes
806,Tomato,Flowering,33.21,37.66,82.77,78.7,5.87,17.41,41.61,Yes
807,Cotton,Maturation,10.56,35.06,79.3,54.44,7.63,13.83,39.41,Yes
808,Cotton,Vegetative,68.81,41.12,32.39,39.43,7.61,22.12,42.95,Yes
809,Wheat,Vegetative,69.06,32.24,37.21,22.19,7.0,13.41,29.19,Yes
810,Maize,Seedling,45.29,35.14,38.28,74.69,8.07,27.62,5.52,No
811,Sugarcane,Vegetative,60.86,15.62,93.04,54.22,7.34,23.61,33.23,Yes
812,Tomato,Seedling,61.23,23.72,84.88,32.55,5.87,20.37,2.35,No
813,Potato,Flowering,41.04,16.17,76.88,3.76,8.26,20.65,54.4,Yes
814,Soybean,Seedling,62.81,36.81,94.37,18.05,7.57,29.16,14.88,No
815,Cotton,Vegetative,19.87,23.39,70.69,7.74,6.94,26.16,58.77,Yes
816,Soybean,Flowering,24.83,27.79,92.32,66.6,7.96,20.39,28.84,Yes
817,Cotton,Seedling,56.54,31.73,79.67,50.03,7.24,11.71,6.53,No
818,Soybean,Seedling,56.96,16.67,82.16,4.38,7.33,18.64,7.33,No
819,Rice,Seedling,43.56,22.96,54.79,7.67,7.76,14.66,40.32,Yes
820,Wheat,Maturation,33.04,36.47,87.2,49.54,6.52,28.75,12.53,No
821,Wheat,Maturation,41.03,30.87,37.02,0.98,7.64,21.86,42.75,Yes
822,Maize,Flowering,31.32,28.0,70.36,14.87,5.91,10.88,58.91,Yes
823,Maize,Flowering,45.07,28.85,72.36,28.62,7.25,20.82,54.45,Yes
824,Soybean,Flowering,32.13,15.22,68.12,54.26,5.67,20.14,30.65,Yes
825,Wheat,Maturation,30.63,41.37,71.64,16.1,5.71,13.79,34.5,Yes
826,Potato,Flowering,61.12,30.28,51.82,23.97,6.49,12.1,53.22,Yes
827,Wheat,Maturation,23.16,15.1,44.5,18.42,7.37,14.78,23.21,No
828,Soybean,Maturation,22.32,19.97,94.34,29.03,5.72,10.6,12.01,No
829,Rice,Vegetative,27.43,20.25,68.07,61.24,5.63,10.59,56.0,Yes
830,Sugarcane,Vegetative,30.39,29.97,41.61,1.72,8.03,28.21,92.48,Yes
831,Wheat,Vegetative,32.74,36.26,37.21,74.89,6.42,14.8,20.5,No
832,Tomato,Seedling,17.11,38.83,38.5,15.17,7.1,23.89,43.75,Yes
833,Soybean,Maturation,68.62,21.6,33.0,49.28,6.07,20.71,1.9,No
834,Wheat,Flowering,62.37,37.99,92.94,70.87,6.13,11.63,12.98,No
835,Potato,Seedling,20.05,25.48,87.36,60.09,6.62,20.38,5.26,No
836,Potato,Maturation,38.43,30.69,71.48,63.25,7.45,14.14,16.11,No
837,Cotton,Maturation,61.79,25.69,49.89,71.1,7.21,28.71,3.13,No
838,Maize,Seedling,27.7,29.01,44.96,3.29,7.04,16.73,40.44,Yes
839,Potato,Maturation,35.95,24.92,62.34,21.84,5.57,18.83,30.17,Yes
840,Rice,Flowering,60.56,28.85,71.84,62.87,8.28,11.97,75.83,Yes
841,Rice,Flowering,12.3,20.41,42.78,26.34,6.41,26.31,108.85,Yes
842,Maize,Flowering,10.51,23.09,83.45,62.65,6.71,18.12,40.73,Yes
843,Wheat,Maturation,49.25,41.71,91.85,69.24,6.18,24.47,2.82,No
844,Potato,Maturation,30.44,17.32,84.98,34.3,8.33,18.35,18.9,No
845,Potato,Maturation,61.18,15.81,39.03,69.9,6.42,24.76,0,No
846,Soybean,Flowering,23.53,26.49,78.92,61.03,7.57,15.99,35.43,Yes
847,Wheat,Seedling,65.33,19.15,91.92,26.42,7.39,22.06,0,No
848,Tomato,Vegetative,66.92,16.72,55.12,37.98,6.49,29.24,16.57,No
849,Sugarcane,Seedling,20.29,33.22,41.55,66.12,7.31,10.54,33.25,Yes
850,Tomato,Flowering,22.35,22.86,64.09,36.37,6.61,10.22,66.82,Yes
851,Soybean,Maturation,33.47,41.72,38.39,33.47,7.73,17.78,40.17,Yes
852,Cotton,Flowering,35.93,34.16,60.86,48.3,8.32,21.75,64.02,Yes
853,Potato,Flowering,22.1,41.76,58.97,65.97,7.31,14.94,53.39,Yes
854,Potato,Maturation,37.76,16.06,35.92,51.7,8.26,16.94,14.93,No
855,Sugarcane,Maturation,46.78,36.87,41.38,19.93,8.2,24.66,57.25,Yes
856,Maize,Seedling,33.61,40.53,45.58,69.64,6.32,22.56,13.05,No
857,Sugarcane,Seedling,51.88,34.51,44.12,39.48,8.48,21.06,33.69,Yes
858,Rice,Flowering,34.61,19.45,43.48,3.57,5.58,22.78,111.37,Yes
859,Potato,Maturation,30.62,25.78,42.64,3.02,6.25,24.18,48.39,Yes
860,Potato,Maturation,37.68,17.23,72.71,57.09,6.81,19.42,7.64,No
861,Sugarcane,Vegetative,20.24,15.49,36.53,23.53,7.1,17.82,77.55,Yes
862,Sugarcane,Vegetative,36.44,19.8,76.44,71.42,7.1,18.84,42.47,Yes
863,Wheat,Seedling,33.44,23.32,33.41,0.37,7.82,25.34,30.7,Yes
864,Cotton,Vegetative,15.48,26.39,94.3,26.97,6.08,23.38,52.03,Yes
865,Cotton,Seedling,57.82,37.42,40.91,13.36,6.75,12.15,32.2,Yes
866,Cotton,Vegetative,66.06,25.67,57.81,18.59,5.82,16.47,45.56,Yes
867,Wheat,Maturation,49.24,15.32,43.83,17.61,7.47,15.57,13.54,No
868,Cotton,Maturation,28.09,31.17,93.9,8.15,7.11,29.81,47.91,Yes
869,Maize,Flowering,67.54,31.2,93.79,55.71,7.53,29.45,27.59,Yes
870,Soybean,Maturation,14.05,15.48,89.29,35.91,7.03,24.84,13.89,No
871,Wheat,Vegetative,11.27,35.49,38.06,18.91,6.79,14.87,56.15,Yes
872,Potato,Flowering,22.12,25.15,71.73,19.05,7.68,29.77,64.27,Yes
873,Potato,Flowering,18.06,23.57,81.15,3.17,7.88,18.3,72.29,Yes
874,Cotton,Flowering,30.56,20.56,33.51,73.41,8.47,26.03,43.38,Yes
875,Cotton,Maturation,41.29,19.96,70.94,5.17,6.97,29.07,48.05,Yes
876,Cotton,Vegetative,15.51,31.0,84.03,74.55,6.21,11.56,37.71,Yes
877,Potato,Flowering,19.85,20.33,57.56,48.47,6.41,21.53,49.93,Yes
878,Potato,Seedling,67.06,24.71,54.55,37.66,6.77,22.19,0,No
879,Tomato,Vegetative,59.18,36.43,31.29,30.51,8.06,25.18,50.08,Yes
880,Maize,Vegetative,25.44,27.52,59.48,30.01,7.32,11.44,42.0,Yes
881,Maize,Maturation,21.74,39.74,30.27,68.93,7.69,17.49,26.52,Yes
882,Tomato,Flowering,33.04,23.31,94.19,5.7,8.15,29.85,69.21,Yes
883,Rice,Maturation,65.93,19.38,79.59,76.57,7.81,25.03,9.17,No
884,Soybean,Seedling,49.05,40.02,77.82,19.39,5.6,26.26,25.87,Yes
885,Wheat,Vegetative,25.68,27.3,74.27,20.34,7.31,29.04,36.51,Yes
886,Rice,Maturation,33.86,30.83,88.56,41.48,6.07,18.46,49.7,Yes
887,Tomato,Flowering,51.51,28.52,64.66,70.93,7.26,24.68,36.15,Yes
888,Rice,Seedling,48.17,35.97,52.39,11.42,7.75,28.6,44.12,Yes
889,Tomato,Flowering,10.39,19.55,61.96,7.75,7.82,18.36,75.17,Yes
890,Tomato,Vegetative,20.58,20.03,38.73,38.92,7.01,12.2,44.76,Yes
891,Cotton,Vegetative,22.06,35.25,82.6,15.35,8.45,27.43,59.14,Yes
892,Rice,Vegetative,14.79,17.31,38.1,5.14,5.59,14.7,93.06,Yes
893,Potato,Seedling,10.57,22.18,92.09,53.23,7.87,10.84,8.37,No
894,Tomato,Flowering,65.93,27.78,51.91,34.36,6.61,27.8,55.04,Yes
895,Soybean,Vegetative,66.46,32.96,54.6,4.58,6.57,16.61,42.98,Yes
896,Tomato,Vegetative,11.54,18.32,64.49,76.08,7.75,14.97,25.28,Yes
897,Potato,Maturation,40.89,32.83,30.2,51.05,8.33,16.44,20.78,No
898,Soybean,Maturation,24.01,28.08,78.05,63.52,6.55,28.78,5.85,No
899,Potato,Seedling,54.06,22.93,42.68,11.45,7.06,21.44,20.8,No
900,Maize,Maturation,57.81,23.14,73.75,43.9,8.12,13.36,4.59,No
901,Potato,Seedling,38.93,29.6,45.82,13.63,8.33,24.0,35.91,Yes
902,Wheat,Vegetative,65.74,23.82,54.93,22.43,7.66,23.32,25.15,Yes
903,Rice,Vegetative,65.36,32.11,61.98,63.64,6.5,14.48,43.38,Yes
904,Rice,Flowering,32.62,34.37,77.84,30.53,7.43,21.24,102.38,Yes
905,Tomato,Vegetative,23.41,18.12,35.7,7.13,7.72,28.74,57.16,Yes
906,Soybean,Vegetative,61.2,40.76,67.5,0.13,5.69,20.71,47.45,Yes
907,Tomato,Maturation,29.18,24.86,74.15,63.73,7.06,22.03,14.75,No
908,Potato,Flowering,18.68,40.46,84.42,39.99,6.87,22.03,67.7,Yes
909,Maize,Seedling,45.93,23.34,94.37,9.88,8.49,24.13,9.62,No
910,Potato,Flowering,52.25,25.17,93.77,26.65,7.98,14.21,45.11,Yes
911,Cotton,Seedling,65.39,35.95,85.69,58.19,6.4,26.3,2.16,No
912,Wheat,Maturation,30.24,33.3,94.37,60.62,6.67,20.56,6.15,No
913,Sugarcane,Flowering,51.78,20.27,85.66,31.5,5.89,25.05,73.66,Yes
914,Sugarcane,Maturation,49.28,30.58,58.72,38.6,8.19,14.2,43.02,Yes
915,Cotton,Seedling,31.73,38.12,36.63,62.84,8.08,17.53,25.39,Yes
916,Maize,Seedling,15.76,41.3,41.68,4.2,8.44,23.0,51.89,Yes
917,Tomato,Vegetative,47.62,25.91,32.21,19.27,6.97,23.76,52.4,Yes
918,Tomato,Seedling,56.66,38.35,72.27,22.02,7.46,17.35,21.94,No
919,Rice,Seedling,14.96,28.21,73.47,40.78,5.57,21.46,38.02,Yes
920,Rice,Vegetative,33.04,42.0,75.68,23.87,5.88,16.5,87.04,Yes
921,Maize,Maturation,58.77,15.53,66.14,42.91,7.94,19.77,0,No
922,Rice,Vegetative,67.94,39.24,41.74,47.93,6.04,21.09,64.52,Yes
923,Soybean,Seedling,12.35,30.53,72.42,7.03,6.27,25.06,37.44,Yes
924,Sugarcane,Flowering,67.98,19.63,93.51,52.65,6.25,10.92,60.45,Yes
925,Sugarcane,Maturation,18.39,28.24,50.34,72.86,8.49,22.12,35.69,Yes
926,Wheat,Vegetative,12.2,18.83,85.65,17.22,5.9,21.04,34.42,Yes
927,Soybean,Flowering,17.71,31.8,34.83,20.4,6.65,28.07,67.92,Yes
928,Sugarcane,Maturation,66.41,18.87,43.24,50.37,6.31,22.66,26.6,Yes
929,Cotton,Flowering,43.82,32.49,63.24,13.12,7.96,16.33,78.61,Yes
930,Cotton,Seedling,26.21,29.35,74.46,32.54,6.49,11.78,22.71,No
931,Soybean,Flowering,18.78,36.55,47.79,7.84,8.44,14.44,81.64,Yes
932,Rice,Vegetative,41.59,38.64,68.27,64.54,5.79,16.98,61.2,Yes
933,Sugarcane,Flowering,46.45,39.21,41.1,75.72,6.67,16.9,79.83,Yes
934,Tomato,Maturation,45.54,21.99,74.63,57.06,7.47,12.85,0.79,No
935,Sugarcane,Seedling,65.11,32.26,54.06,62.2,7.53,18.36,9.44,No
936,Soybean,Maturation,40.13,22.45,57.8,75.33,8.14,26.28,0,No
937,Sugarcane,Seedling,66.85,25.98,50.33,7.21,5.74,24.6,36.58,Yes
938,Wheat,Seedling,54.6,29.96,62.04,69.95,8.39,18.48,0,No
939,Maize,Maturation,39.87,33.5,73.99,42.59,5.87,10.28,25.54,Yes
940,Wheat,Maturation,52.16,35.24,45.87,59.12,8.35,26.47,13.15,No
941,Wheat,Maturation,67.88,33.21,87.33,41.88,6.18,11.5,4.3,No
942,Wheat,Maturation,39.73,19.6,93.03,27.04,7.54,26.63,6.26,No
943,Rice,Flowering,27.95,22.93,43.85,59.04,7.21,14.35,86.71,Yes
944,Wheat,Maturation,63.55,37.91,33.74,0.47,6.88,15.97,43.18,Yes
945,Rice,Seedling,30.98,34.51,56.13,0.71,6.79,13.95,55.13,Yes
946,Tomato,Seedling,64.79,15.19,80.01,20.01,6.91,17.49,0.06,No
947,Soybean,Maturation,63.53,29.48,47.52,79.15,7.47,18.79,0,No
948,Wheat,Flowering,63.01,34.15,37.19,22.79,5.9,18.42,48.47,Yes
949,Soybean,Seedling,19.62,20.37,61.15,53.22,6.3,18.42,0,No
950,Maize,Flowering,55.07,36.07,55.99,58.08,7.73,26.51,40.22,Yes
951,Maize,Seedling,67.46,36.4,38.2,27.53,5.54,23.69,21.99,No
952,Tomato,Seedling,36.06,22.82,61.59,60.87,6.24,13.05,2.97,No
953,Maize,Vegetative,26.87,18.11,47.13,56.08,7.5,18.58,19.46,No
954,Rice,Vegetative,21.32,38.08,70.88,11.9,5.86,18.03,97.21,Yes
955,Sugarcane,Vegetative,65.75,26.51,70.07,7.27,5.65,18.15,65.29,Yes
956,Cotton,Vegetative,30.17,27.94,63.14,51.51,6.41,15.38,45.04,Yes
957,Sugarcane,Flowering,52.7,21.67,88.18,14.54,5.5,23.21,86.19,Yes
958,Sugarcane,Seedling,35.85,21.81,61.93,26.74,5.83,23.38,34.66,Yes
959,Maize,Flowering,31.63,36.87,78.29,47.11,7.31,14.77,53.4,Yes
960,Rice,Seedling,17.83,35.05,37.82,46.92,8.24,23.09,50.7,Yes
961,Cotton,Vegetative,52.28,39.99,34.87,43.73,6.53,24.51,52.0,Yes
